Gene	annotation
Slc17a7	nonMicroglial
Bdnf	nonMicroglial
Cbln2	nonMicroglial
Gabra1	nonMicroglial
Cckbr	nonMicroglial
Npy1r	nonMicroglial
Ntng1	nonMicroglial
Pgr	nonMicroglial
Rbfox3	nonMicroglial
Nefl	nonMicroglial
Syp	nonMicroglial
Syn1	nonMicroglial
Fos	nonMicroglial
Grin1	nonMicroglial
Satb2	nonMicroglial
Tbr1	nonMicroglial
Gls	nonMicroglial
Cux2	nonMicroglial
Rorb	nonMicroglial
Fezf2	nonMicroglial
Camk2a	nonMicroglial
Ephb3	nonMicroglial
Cux1	nonMicroglial
Gad1	nonMicroglial
Adora2a	nonMicroglial
Ano3	nonMicroglial
Baiap2	nonMicroglial
Ccnd2	nonMicroglial
Coch	nonMicroglial
Cpne5	nonMicroglial
Isl1	nonMicroglial
Necab1	nonMicroglial
Onecut2	nonMicroglial
Rgs2	nonMicroglial
Sp9	nonMicroglial
Syt2	nonMicroglial
Syt4	nonMicroglial
Map2	nonMicroglial
Calb1	nonMicroglial
Gad2	nonMicroglial
Wfs1	nonMicroglial
Syt6	nonMicroglial
Reln	nonMicroglial
Drd1	nonMicroglial
Col6a1	nonMicroglial
Oprd1	nonMicroglial
Opalin	nonMicroglial
Ermn	nonMicroglial
Gjc3	nonMicroglial
Lpar1	nonMicroglial
Ndrg1	nonMicroglial
Sgk1	nonMicroglial
Sox8	nonMicroglial
Ttyh2	nonMicroglial
Olig2	nonMicroglial
Plp1	nonMicroglial
Sox10	nonMicroglial
Mog	nonMicroglial
Plin4	nonMicroglial
Cryab	nonMicroglial
Npc1	nonMicroglial
Efnb3	nonMicroglial
Adamts2	nonMicroglial
Col25a1	nonMicroglial
Mc4r	nonMicroglial
Oprl1	nonMicroglial
Pak3	nonMicroglial
Pnoc	nonMicroglial
Rnd3	nonMicroglial
Slc6a1	nonMicroglial
Nefh	nonMicroglial
Tubb3	nonMicroglial
Sox2	nonMicroglial
Gabrg1	nonMicroglial
Gpr165	nonMicroglial
Aldh1l1	nonMicroglial
Aqp4	nonMicroglial
Cxcl14	nonMicroglial
Cspg5	nonMicroglial
Mlc1	nonMicroglial
Ntrk2	nonMicroglial
Aldoc	nonMicroglial
Gja1	nonMicroglial
Fgfr3	nonMicroglial
Mfge8	nonMicroglial
Prdx6	nonMicroglial
Sox9	nonMicroglial
Slc1a3	nonMicroglial
Entpd2	nonMicroglial
Pou3f2	nonMicroglial
Cdkn1a	nonMicroglial
Fn1	nonMicroglial
Igf1r	nonMicroglial
Klf4	nonMicroglial
Rgs5	nonMicroglial
Sema3c	nonMicroglial
Slco1a4	nonMicroglial
Pecam1	nonMicroglial
Cavin1	nonMicroglial
Nostrin	nonMicroglial
Cldn5	nonMicroglial
Flt1	nonMicroglial
Klf2	nonMicroglial
Lmod1	nonMicroglial
Kcnj8	nonMicroglial
Cspg4	nonMicroglial
Vtn	nonMicroglial
Col1a1	nonMicroglial
Anxa5	nonMicroglial
Ccn1	nonMicroglial
Des	nonMicroglial
Pdgfra	nonMicroglial
Bmp7	nonMicroglial
Sox6	nonMicroglial
Traf4	nonMicroglial
Neu4	nonMicroglial
Tmem163	nonMicroglial
S100b	nonMicroglial
Sox4	nonMicroglial
Chat	nonMicroglial
Slc17a8	nonMicroglial
Tacr1	nonMicroglial
Tacr3	nonMicroglial
Slc5a7	nonMicroglial
Gbx2	nonMicroglial
Dgkk	nonMicroglial
Dhcr24	nonMicroglial
Th	nonMicroglial
Ache	nonMicroglial
Creb3l1	nonMicroglial
Omp	nonMicroglial
Cyp51	nonMicroglial
Cd24a	nonMicroglial
Slc17a6	nonMicroglial
Ndnf	nonMicroglial
Npy2r	nonMicroglial
Trhr	nonMicroglial
Oprk1	nonMicroglial
Myh11	nonMicroglial
Crhr2	nonMicroglial
Arhgap36	nonMicroglial
Krt90	nonMicroglial
Ace2	nonMicroglial
Ar	nonMicroglial
Avpr1a	nonMicroglial
Avpr2	nonMicroglial
Brs3	nonMicroglial
Calcr	nonMicroglial
Cbln1	nonMicroglial
Cckar	nonMicroglial
Cenpe	nonMicroglial
Cplx3	nonMicroglial
Crhbp	nonMicroglial
Crhr1	nonMicroglial
Cyp19a1	nonMicroglial
Cyp26a1	nonMicroglial
Fbxw13	nonMicroglial
